row_id,PET_id,PET,expanded_text,span_text,label,whole_text
12,3,シニア,し，他の歩行者との接触事故も心配される。●こういう物を考えるならば，電動車いす・[PET_BOUNDARY]シニアカー[PET_BOUNDARY]・１人（乃至２人）乗り，通勤・通学用の電気またはほかの代替エネルギー利用の乗,シニアカー,1,し，他の歩行者との接触事故も心配される。●こういう物を考えるならば，電動車いす・シニアカー・１人（乃至２人）乗り，通勤・通学用の電気またはほかの代替エネルギー利用の乗
13,3,シニア,京で一人暮らしの老人への配食ボランティアをしていた仲間が中心になって、自分たちの[PET_BOUNDARY]シニア[PET_BOUNDARY]ライフを豊かなものにしたいと願って始めた通信です。今、そのシニアライフ真っ只中で,シニア,1,京で一人暮らしの老人への配食ボランティアをしていた仲間が中心になって、自分たちのシニアライフを豊かなものにしたいと願って始めた通信です。今、そのシニアライフ真っ只中で
14,3,シニア,京で一人暮らしの老人への配食ボランティアをしていた仲間が中心になって、自分たちのシニアライフを豊かなものにしたいと願って始めた通信です。今、その[PET_BOUNDARY]シニア[PET_BOUNDARY]ライフ真っ只中で,シニア,1,京で一人暮らしの老人への配食ボランティアをしていた仲間が中心になって、自分たちのシニアライフを豊かなものにしたいと願って始めた通信です。今、そのシニアライフ真っ只中で
15,3,シニア,毎年うなぎ登りに上がっていたので、チチは活躍の場をそちらに移した。 一九八五年に[PET_BOUNDARY]シニア[PET_BOUNDARY]ツアーに参加したチチは、わずか数ヵ月後の一九八六年のプレーヤーズ・チャンピオンシ,シニア,1,毎年うなぎ登りに上がっていたので、チチは活躍の場をそちらに移した。 一九八五年にシニアツアーに参加したチチは、わずか数ヵ月後の一九八六年のプレーヤーズ・チャンピオンシ
16,3,シニア,康・心の３Ｋが豊かな[PET_BOUNDARY]シニア[PET_BOUNDARY]ライフのキーワードである」と提唱し，この３つの角度からシニアライフを論じています。そして，「ゆとりや安心感のある簡素な生活を送ることができる,シニア,1,康・心の３Ｋが豊かなシニアライフのキーワードである」と提唱し，この３つの角度からシニアライフを論じています。そして，「ゆとりや安心感のある簡素な生活を送ることができる
17,3,シニア,康・心の３Ｋが豊かなシニアライフのキーワードである」と提唱し，この３つの角度から[PET_BOUNDARY]シニア[PET_BOUNDARY]ライフを論じています。そして，「ゆとりや安心感のある簡素な生活を送ることができる,シニア,1,康・心の３Ｋが豊かなシニアライフのキーワードである」と提唱し，この３つの角度からシニアライフを論じています。そして，「ゆとりや安心感のある簡素な生活を送ることができる
18,3,シニア,部からスカウトされた人物だ。ジェローム・Ｂ・ヨークは、最高財務責任者（ＣＦＯ）兼[PET_BOUNDARY]シニア[PET_BOUNDARY]・ヴァイス・プレジデント（上級副社長）の座に就いた。彼はクライスラー社のＣＦＯか,シニア,0,部からスカウトされた人物だ。ジェローム・Ｂ・ヨークは、最高財務責任者（ＣＦＯ）兼シニア・ヴァイス・プレジデント（上級副社長）の座に就いた。彼はクライスラー社のＣＦＯか
19,3,シニア,なぜ、このような状態になってしまったのかについてはこれから触れるが、あと数年で[PET_BOUNDARY]シニア[PET_BOUNDARY]入りするジョン・クックが「今のままだと、２年後にはシニアツアーは存在しないのでは,シニア,1,なぜ、このような状態になってしまったのかについてはこれから触れるが、あと数年でシニア入りするジョン・クックが「今のままだと、２年後にはシニアツアーは存在しないのでは
20,3,シニア,なぜ、このような状態になってしまったのかについてはこれから触れるが、あと数年でシニア入りするジョン・クックが「今のままだと、２年後には[PET_BOUNDARY]シニア[PET_BOUNDARY]ツアーは存在しないのでは,シニア,1,なぜ、このような状態になってしまったのかについてはこれから触れるが、あと数年でシニア入りするジョン・クックが「今のままだと、２年後にはシニアツアーは存在しないのでは
21,3,シニア,社の人にお願いされまして、レコーディングなるものに参加しました。日経新聞主催の、[PET_BOUNDARY]シニア[PET_BOUNDARY]バンドのコンテストに応募するものらしい。楽譜もないままスタジオに連れていかれ、か,シニア,1,社の人にお願いされまして、レコーディングなるものに参加しました。日経新聞主催の、シニアバンドのコンテストに応募するものらしい。楽譜もないままスタジオに連れていかれ、か
22,3,シニア,ードを変えたせいで、体質に合わないのかな〜とも思うのですが、やはり年齢からしたら[PET_BOUNDARY]シニア用を[PET_BOUNDARY]食べさせた方が健康上いいのでしょうか？量が減ったっていうのは体の栄養になって,シニア用を,1,ードを変えたせいで、体質に合わないのかな〜とも思うのですが、やはり年齢からしたらシニア用を食べさせた方が健康上いいのでしょうか？量が減ったっていうのは体の栄養になって
23,3,シニア,つて経験したことがないような、沈黙の生活の悲しい物語を始めなければならない」と、[PET_BOUNDARY]シニアにも[PET_BOUNDARY]、若い人にも言わせることの無いような、情報コミュニティ社会を作って行きたいと,シニアにも,1,つて経験したことがないような、沈黙の生活の悲しい物語を始めなければならない」と、シニアにも、若い人にも言わせることの無いような、情報コミュニティ社会を作って行きたいと
24,3,シニア,）へ。[PET_BOUNDARY]シニア[PET_BOUNDARY]カレッジｉｎ弘前大学「国立大学でひと夏のキャンパスライフを」 全国のシニア世代と一緒に弘前大学で学んでみませんか？▽研修期間 ９月１日（月）〜１２日（金）,シニア,1,）へ。シニアカレッジｉｎ弘前大学「国立大学でひと夏のキャンパスライフを」 全国のシニア世代と一緒に弘前大学で学んでみませんか？▽研修期間 ９月１日（月）〜１２日（金）
25,3,シニア,）へ。シニアカレッジｉｎ弘前大学「国立大学でひと夏のキャンパスライフを」 全国の[PET_BOUNDARY]シニア[PET_BOUNDARY]世代と一緒に弘前大学で学んでみませんか？▽研修期間 ９月１日（月）〜１２日（金）,シニア,1,）へ。シニアカレッジｉｎ弘前大学「国立大学でひと夏のキャンパスライフを」 全国のシニア世代と一緒に弘前大学で学んでみませんか？▽研修期間 ９月１日（月）〜１２日（金）
26,3,シニア,ったことはありません。 人間は支え合って生きることを痛感しました。 平成１２年「[PET_BOUNDARY]シニア[PET_BOUNDARY]・ピア・カウンセラー（傾聴ボランティア）養成講座」を新聞で知って、ホールファミリ,シニア,1,ったことはありません。 人間は支え合って生きることを痛感しました。 平成１２年「シニア・ピア・カウンセラー（傾聴ボランティア）養成講座」を新聞で知って、ホールファミリ
27,3,シニア,に保健対策課まで。実施医療機関一覧表は「市報わかやま」９月号と同時配布しました。[PET_BOUNDARY]シニアの[PET_BOUNDARY]ための元気アップセミナー【西保健センター】１１／５（水） いきいき長寿のために,シニアの,1,に保健対策課まで。実施医療機関一覧表は「市報わかやま」９月号と同時配布しました。シニアのための元気アップセミナー【西保健センター】１１／５（水） いきいき長寿のために
28,3,シニア,ムスリムのいったいどこが悪いんだ？」。同紙の報道によると、クレイの父、カシアス・[PET_BOUNDARY]シニアは[PET_BOUNDARY]、息子の改宗を認める一方で、息子の将来を「台無しにしてしまった」とＮＯＩを非難,シニアは,0,ムスリムのいったいどこが悪いんだ？」。同紙の報道によると、クレイの父、カシアス・シニアは、息子の改宗を認める一方で、息子の将来を「台無しにしてしまった」とＮＯＩを非難
29,3,シニア,ーでは（日が暮れたあとには）ギャンブルと音楽も楽しめた。 マイケル・サリヴァン・[PET_BOUNDARY]シニアは[PET_BOUNDARY]大広間の隅の壁ぎわで、快適な肘かけ椅子にすわっていた。そばの脇テーブルの上のラ,シニアは,0,ーでは（日が暮れたあとには）ギャンブルと音楽も楽しめた。 マイケル・サリヴァン・シニアは大広間の隅の壁ぎわで、快適な肘かけ椅子にすわっていた。そばの脇テーブルの上のラ
30,3,シニア,リーテネシー州クラークスヴィルの自動車修理店店主ウィリアム・ケイヴ・ジョンソン・[PET_BOUNDARY]シニアが[PET_BOUNDARY]スポンサーをする車。クラークスヴィルのニュー・プロヴィデンス・スピードウェイに,シニアが,0,リーテネシー州クラークスヴィルの自動車修理店店主ウィリアム・ケイヴ・ジョンソン・シニアがスポンサーをする車。クラークスヴィルのニュー・プロヴィデンス・スピードウェイに
31,3,シニア,部からスカウトされた人物だ。ジェローム・Ｂ・ヨークは、最高財務責任者（ＣＦＯ）兼[PET_BOUNDARY]シニア[PET_BOUNDARY]・ヴァイス・プレジデント（上級副社長）の座に就いた。彼はクライスラー社のＣＦＯか,シニア,0,部からスカウトされた人物だ。ジェローム・Ｂ・ヨークは、最高財務責任者（ＣＦＯ）兼シニア・ヴァイス・プレジデント（上級副社長）の座に就いた。彼はクライスラー社のＣＦＯか
32,3,シニア,価格の高騰により、北米の個人消費は冷え込んでいる」（杉浦誠司・ＨＳＢＣ証券調査部[PET_BOUNDARY]シニア[PET_BOUNDARY]アナリスト）。特に住宅市場と相関傾向が強い乗用車の販売台数は、昨秋以降、住宅の低,シニア,0,価格の高騰により、北米の個人消費は冷え込んでいる」（杉浦誠司・ＨＳＢＣ証券調査部シニアアナリスト）。特に住宅市場と相関傾向が強い乗用車の販売台数は、昨秋以降、住宅の低
33,3,シニア,子だった。 だが、だからといって甘やかした育て方をしなかったところが、ルーカス・[PET_BOUNDARY]シニアの[PET_BOUNDARY]昔気質なところだ。その厳格なまでの教育方針は、ルーカスに引っ込み思案な少年時代,シニアの,0,子だった。 だが、だからといって甘やかした育て方をしなかったところが、ルーカス・シニアの昔気質なところだ。その厳格なまでの教育方針は、ルーカスに引っ込み思案な少年時代
34,3,シニア,”星野ＳＤ ２年前、阪神に１８年ぶりのリーグ優勝をもたらした前監督で、現在球団の[PET_BOUNDARY]シニア[PET_BOUNDARY]ディレクター（ＳＤ）を務める星野仙一氏は２９日、甲子園球場に姿を現すことはなかっ,シニア,0,”星野ＳＤ ２年前、阪神に１８年ぶりのリーグ優勝をもたらした前監督で、現在球団のシニアディレクター（ＳＤ）を務める星野仙一氏は２９日、甲子園球場に姿を現すことはなかっ
35,3,シニア,とは、一九八九年のアルシュ・サミットの際に行われた日米首脳会談の席上でブッシュ・[PET_BOUNDARY]シニア[PET_BOUNDARY]大統領が提案し、宇野首相が受け入れたものだ。わずか二十分間の会談で決まったという,シニア,0,とは、一九八九年のアルシュ・サミットの際に行われた日米首脳会談の席上でブッシュ・シニア大統領が提案し、宇野首相が受け入れたものだ。わずか二十分間の会談で決まったという
36,3,シニア,大会」が開かれました。 会場には、子ども会会員や育成指導者など約６００人が参加。[PET_BOUNDARY]シニア[PET_BOUNDARY]リーダー７人、ジュニアリーダー上級・中級１９人に認定証が授与されました。また、天,シニア,0,大会」が開かれました。 会場には、子ども会会員や育成指導者など約６００人が参加。シニアリーダー７人、ジュニアリーダー上級・中級１９人に認定証が授与されました。また、天
37,3,シニア,いるのだ。まあ、自動車のためのインターステートハイウェイを実現させたアル・ゴア・[PET_BOUNDARY]シニア[PET_BOUNDARY]元上院議員の息子である彼のことだから、そんな刺激はなくてもいずれは同様の着想を得,シニア,0,いるのだ。まあ、自動車のためのインターステートハイウェイを実現させたアル・ゴア・シニア元上院議員の息子である彼のことだから、そんな刺激はなくてもいずれは同様の着想を得
38,3,シニア,ティブＭⅡ：上級管理・専門ＭⅠ：管理・専門ＬＤ：リーダーＳＬ：サブリーダーＳＳ：[PET_BOUNDARY]シニア[PET_BOUNDARY]スタッフＳＴ：スタッフＳ：企画・判断Ｊ：初級企画・判断ＳＯ：熟練・定型 ＯＰ：定,シニア,0,ティブＭⅡ：上級管理・専門ＭⅠ：管理・専門ＬＤ：リーダーＳＬ：サブリーダーＳＳ：シニアスタッフＳＴ：スタッフＳ：企画・判断Ｊ：初級企画・判断ＳＯ：熟練・定型 ＯＰ：定
39,3,シニア,２日に都久志会館大ホール（福岡）にて開催された[PET_BOUNDARY]シニア[PET_BOUNDARY]プランフォーム’９２「豊かなシニアライフを求めて」の内容を編集したものです。 このフォーラムの構成と主な内容は次の,シニア,0,２日に都久志会館大ホール（福岡）にて開催されたシニアプランフォーム’９２「豊かなシニアライフを求めて」の内容を編集したものです。 このフォーラムの構成と主な内容は次の
40,3,シニア,２日に都久志会館大ホール（福岡）にて開催されたシニアプランフォーム’９２「豊かな[PET_BOUNDARY]シニア[PET_BOUNDARY]ライフを求めて」の内容を編集したものです。 このフォーラムの構成と主な内容は次の,シニア,0,２日に都久志会館大ホール（福岡）にて開催されたシニアプランフォーム’９２「豊かなシニアライフを求めて」の内容を編集したものです。 このフォーラムの構成と主な内容は次の
41,4,年齢を重ねる,ることが難しいのではないかと考えている人も多いかと思います。 確かに、ある程度、[PET_BOUNDARY]年齢を重ねて[PET_BOUNDARY]しまいますと、資格をとったからといって、新たに就職先を見つけるということは難し,年齢を重ねて,1,ることが難しいのではないかと考えている人も多いかと思います。 確かに、ある程度、年齢を重ねてしまいますと、資格をとったからといって、新たに就職先を見つけるということは難し
42,4,年齢を重ねる,全然かきませんでした・・汗脇パットでも試そうかと思ってます。ちなみに２８ですが[PET_BOUNDARY]年齢を重ねる[PET_BOUNDARY]うちに体のリズムって変わりますよねぇ。お互い対策に頑張りましょう。,年齢を重ねる,1,全然かきませんでした・・汗脇パットでも試そうかと思ってます。ちなみに２８ですが年齢を重ねるうちに体のリズムって変わりますよねぇ。お互い対策に頑張りましょう。
43,4,年齢を重ねる,でしょうね……自分の持ち時間が、自分が思っていたほどには多くはないということに、[PET_BOUNDARY]年齢を重ねる[PET_BOUNDARY]ことで、だんだんと気づき始めたせいでしょうか。 ……と、なんだか投資とは全,年齢を重ねる,1,でしょうね……自分の持ち時間が、自分が思っていたほどには多くはないということに、年齢を重ねることで、だんだんと気づき始めたせいでしょうか。 ……と、なんだか投資とは全
44,4,年齢を重ねる,選んでまで職場を転々として逃げていてもそう簡単には行くはずがありません。ましてや[PET_BOUNDARY]年齢を重ねるに[PET_BOUNDARY]しろ、体力的にも不安がありますが、仕事が出来る喜びを感じ取らないとね。給料（,年齢を重ねるに,1,選んでまで職場を転々として逃げていてもそう簡単には行くはずがありません。ましてや年齢を重ねるにしろ、体力的にも不安がありますが、仕事が出来る喜びを感じ取らないとね。給料（
45,4,年齢を重ねる,りたくなかった。いまでもそう思っている」 最後の言葉にリヒテルの本音がある。彼は[PET_BOUNDARY]年齢を重ねても[PET_BOUNDARY]大人にはならなかった人である。生後間もないリヒテルと両親。ピアノの楽譜はブラ,年齢を重ねても,1,りたくなかった。いまでもそう思っている」 最後の言葉にリヒテルの本音がある。彼は年齢を重ねても大人にはならなかった人である。生後間もないリヒテルと両親。ピアノの楽譜はブラ
46,4,年齢を重ねる,中にもある自然な感情でしょう。つまり、自分の生き方を見つけるための準備段階です。[PET_BOUNDARY]年齢を重ねるに[PET_BOUNDARY]したがって、そこに「私はこれだ」というものがはっきりしてくるものです。 なか,年齢を重ねるに,1,中にもある自然な感情でしょう。つまり、自分の生き方を見つけるための準備段階です。年齢を重ねるにしたがって、そこに「私はこれだ」というものがはっきりしてくるものです。 なか
47,4,年齢を重ねる,ーが弱まることで、その関係は下火にならざるをえません。厄年とはよくいったもので、[PET_BOUNDARY]年齢を重ねて[PET_BOUNDARY]いく段階で、厄年は肉体的にもちょうど転換期に当たりますから、注意すべき年齢であ,年齢を重ねて,1,ーが弱まることで、その関係は下火にならざるをえません。厄年とはよくいったもので、年齢を重ねていく段階で、厄年は肉体的にもちょうど転換期に当たりますから、注意すべき年齢であ
48,4,年齢を重ねる,となると譲位をせずに終生大王でおられるかもしれない。もし長生きされたなら当然吾は[PET_BOUNDARY]年齢を重ねるし[PET_BOUNDARY]、皇太子ということになる。 「ひょっとすると、皇子が二十歳になられた時、御決,年齢を重ねるし,1,となると譲位をせずに終生大王でおられるかもしれない。もし長生きされたなら当然吾は年齢を重ねるし、皇太子ということになる。 「ひょっとすると、皇子が二十歳になられた時、御決
49,4,年齢を重ねる,よう見真似で」学ぼうというわけです。 比較的長くサラリーマン生活を続け、ある程度[PET_BOUNDARY]年齢を重ねた[PET_BOUNDARY]人は、プロフェッショナルとしては自分よりも多くの経験を有しているものの、はるか,年齢を重ねた,1,よう見真似で」学ぼうというわけです。 比較的長くサラリーマン生活を続け、ある程度年齢を重ねた人は、プロフェッショナルとしては自分よりも多くの経験を有しているものの、はるか
50,4,年齢を重ねる,場合は、だいぶ様相が異なっている。いつごろだったのか定かでないほど幼いときから、[PET_BOUNDARY]年齢を重ねるに[PET_BOUNDARY]至るまで、大いに外見を気にしなければならない。それに対して各種のメディア、雑,年齢を重ねるに,1,場合は、だいぶ様相が異なっている。いつごろだったのか定かでないほど幼いときから、年齢を重ねるに至るまで、大いに外見を気にしなければならない。それに対して各種のメディア、雑
51,5,セカンドライフ,テリアの充実や定期的なメンテナンスなど、まとまったお金が必要になるＣＯＬＵＭＮ＊[PET_BOUNDARY]セカンドライフは[PET_BOUNDARY]都心派？ それとも郊外派？ 老後はマンションで、と希望する人が増えています 最,セカンドライフは,1,テリアの充実や定期的なメンテナンスなど、まとまったお金が必要になるＣＯＬＵＭＮ＊セカンドライフは都心派？ それとも郊外派？ 老後はマンションで、と希望する人が増えています 最
52,5,セカンドライフ,だそうだ。伝統、文化、生活の知恵の伝達―定年者はどう「Ｘ」を表現するか 充実した[PET_BOUNDARY]セカンドライフを[PET_BOUNDARY]築き上げたいと願う人が、綾部の地元の人々の間でも増えている。今は生きがい創造の,セカンドライフを,1,だそうだ。伝統、文化、生活の知恵の伝達―定年者はどう「Ｘ」を表現するか 充実したセカンドライフを築き上げたいと願う人が、綾部の地元の人々の間でも増えている。今は生きがい創造の
53,5,セカンドライフ,円程度ありますが、６０歳までには完済できる予定です。 先日深井さんは、会社主催の[PET_BOUNDARY]セカンドライフ[PET_BOUNDARY]セミナーに軽い気持ちで妻の芳子さんと一緒に参加しました。セミナーは健康編から始ま,セカンドライフ,1,円程度ありますが、６０歳までには完済できる予定です。 先日深井さんは、会社主催のセカンドライフセミナーに軽い気持ちで妻の芳子さんと一緒に参加しました。セミナーは健康編から始ま
54,5,セカンドライフ,術館は、子育てを終わった女性、定年を迎えるサラリーマン、余暇の活用を考える人に、[PET_BOUNDARY]セカンドライフへの[PET_BOUNDARY]“はげまし”を贈る。 二つ。群馬の自然の美しさを満喫してもらう。 三つ。群馬,セカンドライフへの,1,術館は、子育てを終わった女性、定年を迎えるサラリーマン、余暇の活用を考える人に、セカンドライフへの“はげまし”を贈る。 二つ。群馬の自然の美しさを満喫してもらう。 三つ。群馬
55,5,セカンドライフ,まりだそうだ。もう会社の名刺も使えない。それで、何も準備をしてこなかった人には、[PET_BOUNDARY]セカンドライフの[PET_BOUNDARY]幕がなかなか開かない。 多くの人にとって、どう生きるのかを初めて試されるのが、,セカンドライフの,1,まりだそうだ。もう会社の名刺も使えない。それで、何も準備をしてこなかった人には、セカンドライフの幕がなかなか開かない。 多くの人にとって、どう生きるのかを初めて試されるのが、
56,5,セカンドライフ,は、私の好きな作家たちの作品。３０年かかって、全国からコツコツ買い集めたものだ。[PET_BOUNDARY]セカンドライフへの[PET_BOUNDARY]励ましを贈りたい 「いよいよ、美術館を作ろうか。優ちゃん」 私は妹にいった。,セカンドライフへの,1,は、私の好きな作家たちの作品。３０年かかって、全国からコツコツ買い集めたものだ。セカンドライフへの励ましを贈りたい 「いよいよ、美術館を作ろうか。優ちゃん」 私は妹にいった。
57,5,セカンドライフ,たちの紹介記事と一緒に五十回ほどにわたって掲載しました。 また“人生八〇年時代の[PET_BOUNDARY]セカンドライフを[PET_BOUNDARY]考える熟年誌”『月刊チャップリン』という月刊誌に数年にわたって「高齢化社会にお,セカンドライフを,1,たちの紹介記事と一緒に五十回ほどにわたって掲載しました。 また“人生八〇年時代のセカンドライフを考える熟年誌”『月刊チャップリン』という月刊誌に数年にわたって「高齢化社会にお
58,5,セカンドライフ,の幕がなかなか開かない。 多くの人にとって、どう生きるのかを初めて試されるのが、[PET_BOUNDARY]セカンドライフで[PET_BOUNDARY]ある。人生にも戦略がいる。 惰性で生きるか、「Ｘ」を見つけてそれを表現していく,セカンドライフで,1,の幕がなかなか開かない。 多くの人にとって、どう生きるのかを初めて試されるのが、セカンドライフである。人生にも戦略がいる。 惰性で生きるか、「Ｘ」を見つけてそれを表現していく
59,5,セカンドライフ,んが建てたこの南仏風の家は、いずれ夫婦２人だけで暮らすことを考えてつくった理想の[PET_BOUNDARY]セカンドライフの[PET_BOUNDARY]ための家なのです。鈴木邸の玄関アプローチ。正面の茶色い扉の向こうが庭になってい,セカンドライフの,1,んが建てたこの南仏風の家は、いずれ夫婦２人だけで暮らすことを考えてつくった理想のセカンドライフのための家なのです。鈴木邸の玄関アプローチ。正面の茶色い扉の向こうが庭になってい
60,5,セカンドライフ,り、高齢者が働きやすい職場環境づくり、また高齢者になる前段階でセカンドキャリア（[PET_BOUNDARY]セカンドライフ[PET_BOUNDARY]）の関して検討する機会の付与など、企業側の努力が求められる面がまずあげられる。,セカンドライフ,1,り、高齢者が働きやすい職場環境づくり、また高齢者になる前段階でセカンドキャリア（セカンドライフ）の関して検討する機会の付与など、企業側の努力が求められる面がまずあげられる。
61,6,シルバー世代,答え、話を面白くすること」。そんなときにこそ、さまざまな人生経験が生きてくるし、[PET_BOUNDARY]シルバー世代が[PET_BOUNDARY]ボランティアとして活動する意味合いがあるのだと思わせる言葉だ。「教室から笑い声,シルバー世代が,1,答え、話を面白くすること」。そんなときにこそ、さまざまな人生経験が生きてくるし、シルバー世代がボランティアとして活動する意味合いがあるのだと思わせる言葉だ。「教室から笑い声
62,6,シルバー世代,のでしょうか？人生経験から来る余裕は勝てませんね。経済的にも余裕あるし。シニア・[PET_BOUNDARY]シルバー世代は[PET_BOUNDARY]層が厚いですからね。平均寿命も年々伸びているし。皆共に歳を取り、シニア・シルバ,シルバー世代は,1,のでしょうか？人生経験から来る余裕は勝てませんね。経済的にも余裕あるし。シニア・シルバー世代は層が厚いですからね。平均寿命も年々伸びているし。皆共に歳を取り、シニア・シルバ
63,6,シルバー世代,１歳１ヶ月、男の子の母親です。私の住んでいるところは[PET_BOUNDARY]シルバー世代が[PET_BOUNDARY]多く、公園に行っても、同じ年の子をほとんど見かけません。公園が無人のこともあり,シルバー世代が,1,１歳１ヶ月、男の子の母親です。私の住んでいるところはシルバー世代が多く、公園に行っても、同じ年の子をほとんど見かけません。公園が無人のこともあり
64,6,シルバー世代,若い女性にお聞きしたいです。何故か最近、シニア、[PET_BOUNDARY]シルバー世代の[PET_BOUNDARY]男性が人気のようです。わが社も女子社員が多いのですが飲み会などではこの話題を盛,シルバー世代の,1,若い女性にお聞きしたいです。何故か最近、シニア、シルバー世代の男性が人気のようです。わが社も女子社員が多いのですが飲み会などではこの話題を盛
65,6,シルバー世代,「臨床栄養」の範囲資料：梶本雅俊公衆衛生研究 ４５‐１ ６Ｐ 国立公衆衛生院３[PET_BOUNDARY]シルバー世代の[PET_BOUNDARY]食ニーズと対応 高齢者の食生活の安全な供給は、家族形態の変化、若年労働力の減少,シルバー世代の,1,「臨床栄養」の範囲資料：梶本雅俊公衆衛生研究 ４５‐１ ６Ｐ 国立公衆衛生院３シルバー世代の食ニーズと対応 高齢者の食生活の安全な供給は、家族形態の変化、若年労働力の減少
