PET_id,PET_jp,Domain,Register,Literal equivalent (JP),English gloss (euphemism),English gloss (literal),Euphe_status
52,一生を終える,Death & Dying,Neutral,死ぬ,finish one’s life,die,always
53,息を引き取る,Death & Dying,Neutral,死ぬ,breathe one’s last,die,always
54,息絶える,Death & Dying,Neutral,死ぬ,breathe out completely,die,always
55,この世を去る,Death & Dying,Neutral,死ぬ,leave this world,die,always
56,生涯を終える,Death & Dying,Neutral,死ぬ,end one’s life,die,always
57,大往生する,Death & Dying,Formal,長生きして死ぬ,die a natural death,live long and die,always
58,眠りにつく,Death & Dying,Neutral,死ぬ,go to sleep,die,sometimes
59,火の車,Workplace & Economy,Neutral,経済が苦しい,financially burning,on fire (cart),always
60,ボンビー,Workplace & Economy,Informal,貧乏,being broke,poor,always
61,不自由,Illness & Disability ,Neutral,障害,impairment,disability,sometimes
62,ハンディキャップ,Illness & Disability ,Neutral,障害,handicap,disability,sometimes
63,特別支援,Illness & Disability ,Neutral,障害教育,special support,disability education,sometimes
64,もどす,Illness & Disability ,Neutral,吐く,to throw up,to vomit,sometimes
65,障がい,Illness & Disability ,Neutral,障害,disability (softened spelling),disability (obstacle + harm),sometimes
66,お開き,Others,Neutral,終わり,closing (of an event),"end, finish",sometimes
67,家庭の事情,Others,Neutral,家族の問題,family circumstances,family problems,always
68,金魚のフン,Others,Neutral,付きまとう人,a tagalong person,person who follows someone around,sometimes
69,八方美人,Others,Neutral,誰にでもいい顔する人,people pleaser,someone who tries to please everyone,always
70,一身上の都合,Personality,Neutral,個人的な理由,personal reasons,private matters,always
71,おてんば,Personality,Neutral,落ち着きがない / やんちゃ,tomboyish / playful,unruly / mischievous,always
72,マイペース,Personality,Neutral,協調性がない,at one’s own pace,uncooperative,sometimes
73,繊細,Personality,Neutral,神経質,sensitive,overly sensitive / neurotic,sometimes
74,のんびり屋,Personality,Neutral,鈍い / 行動が遅い,laid-back,slow / dull,always
75,大らか,Personality,Neutral,無神経,easygoing,insensitive,sometimes
76,遺憾,Politics & War,Formal,強い非難 / 謝罪,express regret / deplore,strongly criticize / apologize,always
77,人的被害,Politics & War,Formal,死傷者,damage to people,damage to people,always
78,人道的介入,Politics & War,Formal,軍事介入,intervention for humanitarian reasons,Military intervention,always
79,大人の関係,Sexuality & Relationships,Neutral,性関係,adult relationship,sexual relationship,sometimes
80,夜の営み,Sexuality & Relationships,Neutral,性交,nightly activity,sexual intercourse,always
81,愛を交わす,Sexuality & Relationships,Neutral,性交,make love,have sex,sometimes
82,夫婦生活,Sexuality & Relationships,Neutral,性交,married life,sexual life,sometimes
83,夜の関係,Sexuality & Relationships,Neutral,性交,night relationship,sex,always
84,夜遊び,Sexuality & Relationships,Neutral,性行為／風俗,night play,sex/sex work,sometimes
85,夜のお仕事,Sexuality & Relationships,Neutral,性風俗,night work,sex work,sometimes
86,水商売,Sexuality & Relationships,Neutral,性風俗業,water trade,sex/hostess industry,always
87,援助交際,Sexuality & Relationships,Neutral,売春,compensated dating,prostitution,always
88,デリヘル,Sexuality & Relationships,Neutral,売春,outcall service,prostitution,always
89,風俗,Sexuality & Relationships,Neutral,売春,adult entertainment,prostitution,always
90,お遊び,Sexuality & Relationships,Informal,売春／浮気,play,sex/affair,sometimes
91,コンパニオン,Sexuality & Relationships,Neutral,接待女性,companion,hostess,sometimes
92,慰安婦,Sexuality & Relationships,Neutral,性奴隷 / 強制売春婦,comfort woman,sex slave / forced prostitute,always
93,パパ活,Sexuality & Relationships,Informal,援助交際,sugar dating,do activities with a “daddy”,always
94,枕を交わす,Sexuality & Relationships,Neutral,性交する,to sleep with (someone),to have sexual intercourse,always
95,一線を超える,Sexuality & Relationships,Neutral,性交する,to cross the line,to have sexual relations,
96,リストラ,Workplace & Economy,Neutral,解雇,restructuring,dismissal,always
97,早期退職制度,Workplace & Economy,Neutral,解雇,early retirement program,dismissal,sometimes
98,人員整理,Workplace & Economy,Neutral,解雇,personnel adjustment,dismissal,always
99,異動,Workplace & Economy,Neutral,左遷,transfer,demotion/transfer,sometimes
100,出向,Workplace & Economy,Neutral,強制転勤,secondment,forced transfer,sometimes
101,経営合理化,Workplace & Economy,Neutral,コスト削減,rationalization,cost-cutting,sometimes
